experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
TOFU_grad_ascent,base,Prompt,isolation_min,,,False,-,100
TOFU_grad_ascent,base,Prompt,cluster_compactness_mean,,,False,-,100
TOFU_grad_ascent,base,Prompt,cluster_compactness_std,,,False,-,100
TOFU_grad_ascent,base,Prompt,cluster_compactness_max,,,False,-,100
TOFU_grad_ascent,base,Prompt,cluster_compactness_min,,,False,-,100
TOFU_grad_ascent,base,Prompt,cross_layer_consistency_mean,-0.030616116900540103,0.7623602203691849,False,-,100
TOFU_grad_ascent,base,Prompt,cross_layer_consistency_std,-0.10744561274498139,0.2873144873530766,False,-,100
TOFU_grad_ascent,base,Prompt,cross_layer_consistency_max,-0.030616116900540103,0.7623602203691849,False,-,100
TOFU_grad_ascent,base,Prompt,cross_layer_consistency_min,-0.030616116900540103,0.7623602203691849,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_mean,0.16314253251462732,0.1048462764793394,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_std,0.16599030339296278,0.0988396469277667,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_max,0.20829211666462288,0.037562115985916425,True,+,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_min,0.13059660755196678,0.19528530101748517,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,separability_mean,0.07958453608784781,0.43122966959424425,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,separability_std,0.04854084026241624,0.6315200368060427,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,separability_max,0.10629038407105397,0.29255850962690694,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,separability_min,0.04211787693516878,0.6773600861524984,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_mean,0.07657083631793316,0.448933568005,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_std,0.11620937963336093,0.24957213382646073,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_max,0.07768041356737032,0.4423686213798183,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_min,-0.0822558511459571,0.4158759147247474,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_mean,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_std,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_max,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_min,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_mean,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_std,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_max,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_min,,,False,-,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_mean,0.024260054434000058,0.8106514464397414,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_std,0.10404474413498169,0.3029323250383369,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_max,0.024260054434000058,0.8106514464397414,False,+,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_min,0.024260054434000058,0.8106514464397414,False,+,100
TOFU_grad_ascent,unlearned,Embedding,local_density_mean,-0.20114370276368237,0.04478080643022825,True,-,100
TOFU_grad_ascent,unlearned,Embedding,local_density_std,-0.22456396953485308,0.024692680728938692,True,-,100
TOFU_grad_ascent,unlearned,Embedding,local_density_max,-0.23903938219843113,0.016612512792268882,True,-,100
TOFU_grad_ascent,unlearned,Embedding,local_density_min,-0.13217526525840537,0.18989339350092227,False,-,100
TOFU_grad_ascent,unlearned,Embedding,separability_mean,-0.03795515215833676,0.7077238618357217,False,-,100
